timestamp,Price,Open,High,Low,Vol.,Change %
2025-11-26,20.02,20.37,20.52,19.87,,-3.42%
2025-11-25,20.73,21.78,22.60,20.66,,-5.13%
2025-11-24,21.85,23.32,23.32,21.78,,-8.81%
2025-11-22,23.96,25.00,23.96,23.96,,0.00%
2025-11-21,23.96,25.00,26.69,23.54,,-6.99%
2025-11-20,25.76,21.69,26.32,21.51,,7.38%
2025-11-19,23.99,24.35,24.82,23.17,,-2.24%
2025-11-18,24.54,24.08,25.29,23.54,,5.87%
2025-11-17,23.18,22.36,23.72,21.74,,7.41%
2025-11-14,21.58,23.17,23.55,21.37,,-1.24%
2025-11-13,21.85,20.71,22.52,20.52,,7.42%
2025-11-12,20.34,20.13,20.59,20.13,,0.74%
2025-11-11,20.19,20.35,20.39,20.16,,-0.25%
2025-11-10,20.24,20.57,20.77,20.22,,-4.48%
2025-11-07,21.19,22.22,23.02,21.19,,-0.75%
2025-11-06,21.35,20.72,21.85,20.62,,3.64%
2025-11-05,20.60,21.34,21.42,20.17,,-3.24%
2025-11-04,21.29,21.43,21.69,20.76,,4.47%
2025-11-03,20.38,20.34,21.21,20.28,,-0.54%
2025-11-02,20.49,19.68,20.49,20.49,,0.00%
2025-10-31,20.49,19.68,21.07,19.68,,2.55%
2025-10-30,19.98,19.87,20.29,19.58,,0.76%
2025-10-29,19.83,19.57,20.12,19.44,,1.43%
2025-10-28,19.55,18.99,19.59,18.95,,2.95%
2025-10-27,18.99,18.73,19.12,18.71,,-1.09%
2025-10-24,19.20,19.16,19.36,18.98,,-2.29%
2025-10-23,19.65,20.47,20.52,19.54,,-3.25%
2025-10-22,20.31,20.39,21.61,20.17,,1.60%
2025-10-21,19.99,20.44,20.65,19.79,,-1.58%
2025-10-20,20.31,21.47,21.47,20.30,,-8.06%
2025-10-17,22.09,24.24,24.68,22.07,,-11.18%
2025-10-16,24.87,21.68,24.94,21.60,,13.35%
2025-10-15,21.94,21.19,22.98,20.95,,-0.41%
2025-10-14,22.03,22.48,23.30,21.09,,5.26%
2025-10-13,20.93,21.59,21.75,20.66,,-8.24%
2025-10-10,22.81,19.46,23.13,19.30,,17.70%
2025-10-09,19.38,19.24,19.85,19.22,,0.62%
2025-10-08,19.26,19.56,19.72,19.22,,-2.28%
2025-10-07,19.71,19.07,19.79,19.02,,3.09%
2025-10-06,19.12,19.16,19.37,19.06,,0.21%
2025-10-04,19.08,18.87,19.08,19.08,,0.00%
2025-10-03,19.08,18.87,19.29,18.77,,1.01%
2025-10-02,18.89,18.60,19.09,18.54,,0.69%
2025-10-01,18.76,19.00,19.05,18.51,,-0.05%
2025-09-30,18.77,18.92,19.05,18.53,,0.05%
2025-09-29,18.76,18.57,18.90,18.49,,1.90%
2025-09-26,18.41,19.30,19.49,18.41,,-5.40%
2025-09-25,19.46,19.75,20.06,19.11,,1.67%
2025-09-24,19.14,19.25,19.80,19.14,,-1.54%
2025-09-23,19.44,18.96,19.69,18.95,,2.59%
2025-09-22,18.95,18.84,18.96,18.66,,2.54%
2025-09-19,18.48,18.34,18.85,18.32,,-0.22%
2025-09-18,18.52,18.26,18.57,18.07,,0.43%
2025-09-17,18.44,18.80,19.21,18.20,,-2.49%
2025-09-16,18.91,18.61,18.98,18.61,,2.05%
2025-09-15,18.53,18.09,18.58,18.09,,2.60%
2025-09-12,18.06,18.14,18.19,17.84,,0.17%
2025-09-11,18.03,18.17,18.26,17.97,,-2.22%
2025-09-10,18.44,18.26,18.61,18.09,,0.93%
2025-09-09,18.27,18.51,18.74,18.24,,-0.11%
2025-09-08,18.29,18.60,18.60,18.21,,-0.71%
